ID,BlendProperty1,BlendProperty2,BlendProperty3,BlendProperty4,BlendProperty5,BlendProperty6,BlendProperty7,BlendProperty8,BlendProperty9,BlendProperty10
1,0.12679002,0.21530832,0.5605639,0.6568204,0.35422152,0.7385304,0.57517785,0.39988384,-0.2105656,0.4093052
2,-0.6636851,-0.20447229,-1.1409271,0.079400174,-0.7279312,-0.08344,-1.0925454,-0.9764629,-0.5175916,0.07755502
3,1.5816013,1.0866749,1.0017765,1.1073365,2.2551365,1.8378291,0.9903958,1.70092,0.509829,2.2499647
4,-0.57040924,0.40226182,0.55164224,-0.51915056,1.9426284,-0.4700558,0.57991153,1.4008242,0.7024036,-0.9097541
5,0.13233288,-1.2501096,1.0626031,0.40033635,2.3598218,0.21353039,1.0938447,-0.10170634,-0.53198147,1.0417306
6,-1.428442,-1.779132,0.3884812,-1.4867206,0.0065140408,-1.5680411,0.34246093,0.008758159,-0.9141667,0.034567386
7,1.1602993,0.4312383,-0.12646213,-0.10173968,-0.113656744,0.75051,-0.12428012,0.29102808,1.2143601,0.296219
8,1.9171181,1.2229114,0.89935476,1.3324513,-1.5128767,1.3985345,0.92102516,1.0414655,1.5870956,0.57229376
9,1.4191766,1.0700449,1.1093935,1.6774383,-0.5463594,0.98609287,1.1160547,0.2745489,1.0853487,0.998744
10,-0.98833126,-0.80885494,-2.0235384,-0.6259657,-1.207619,-0.45195937,-1.9181854,0.17198774,-0.5286838,-1.1873748
11,-0.014280005,0.42829475,0.79200536,0.5101187,1.9428712,-0.20921603,0.71368515,-0.06107089,-0.853623,0.80991226
12,1.19214,0.68598133,0.74280524,-0.36555263,1.1290251,0.33800286,0.65042514,0.93767256,-0.39026108,0.9612607
13,0.64431435,-0.30929685,0.97057194,0.25889573,-1.361265,1.9581612,0.8797652,1.0034536,1.4231509,1.951046
14,-0.39084882,0.6699684,0.8442775,-0.9495233,2.4542136,-0.51932627,0.7695195,0.117437944,-0.91506743,-0.4267785
15,0.5512566,1.9592252,0.5132764,1.600681,-0.21537878,0.2723544,0.5131761,0.8189228,0.3929115,-0.4028379
16,0.00956047,-0.72646505,0.8975867,-0.763362,0.58256865,-0.9286513,0.9880537,-0.101837106,-1.6520714,0.06344256
17,-1.4293416,-1.3599026,-0.2174225,-1.593319,-0.79102474,-0.024385024,-0.19817501,-0.9218764,-0.13342376,-1.3344636
18,-0.24585511,-0.4078583,0.40573552,-0.4014469,-0.050860874,-0.21631515,0.37993312,0.95528823,-0.03777956,-1.0919012
19,0.10119556,-0.3711172,0.7656105,-0.75566703,1.6734543,-1.1859314,0.74787754,1.5124409,-1.4908893,1.584567
20,-0.7259331,-1.4001273,0.4856582,-1.1223202,-0.7774898,-0.80701226,0.45678902,0.07758756,-1.0849286,-1.4908689
21,0.0371455,-2.1607952,0.2441653,-0.91655576,1.8565422,-1.9692571,0.18985932,1.0181725,-0.8190406,0.5953153
22,0.22296983,0.9630805,0.08785571,1.4461093,1.3322864,1.8161778,0.10862247,0.5939278,0.7310376,1.5881076
23,1.0284427,1.4484608,1.2471153,0.90698326,1.4703887,0.26775524,1.2270473,0.78698254,0.13960898,1.4189205
24,0.15556082,0.54709005,0.36308527,0.4945719,-1.0496776,0.33536962,0.26777798,-0.5611367,0.0037615404,0.022906678
25,-1.4721292,-0.978758,-0.025791813,-0.71488565,-0.5527593,-0.26632306,-0.06401288,-1.0817555,-0.2377194,0.05700241
26,-0.50961334,-0.5125061,0.16622879,-0.9242582,-0.30969006,0.08491017,0.18734623,-1.1193058,-0.0063457116,-1.6545585
27,0.95092213,0.49462762,-0.2890464,1.467745,-1.3605464,0.35721868,-0.23725438,0.49177387,0.5951384,-1.0976676
28,0.09449038,-0.3320169,-0.405278,-0.7124534,-1.1685147,-0.52463883,-0.4038677,-1.1823444,0.76546997,0.70709395
29,-0.94846725,-1.5367563,-0.13850993,-0.49451372,-0.44153532,-0.8749503,-0.17917201,-0.8924359,-0.48490104,0.22732145
30,-0.20041564,0.18446462,-0.8279355,-0.95111454,-1.6820476,0.09533656,-0.8055856,-0.86345476,0.13415648,-1.6782548
31,-1.1435701,-0.2711769,0.1317713,-0.5059633,1.0569258,-0.8597698,0.120201446,-0.13793053,-1.5218924,0.3232045
32,-1.187018,-0.31165582,-0.03407992,-1.1097637,0.37234828,-1.4734856,0.04305072,-0.3136703,-0.7526728,0.30621496
33,0.57509196,0.54575175,-0.61834097,0.5083377,0.1329426,-0.28090173,-0.5836966,0.12252949,0.25116387,-0.11728012
34,0.7494176,1.0053598,0.3002702,0.021469098,-0.97627836,0.03653602,0.16189605,1.266386,-0.17275918,-0.46774212
35,-0.7906655,-1.3536835,-0.06638141,-0.85213566,0.10310573,-0.31535932,-0.10264383,-1.3215163,-2.1913617,0.2573829
36,1.8472053,0.36122006,0.4827806,0.6703522,0.77507037,0.58311987,0.49509436,1.4296366,-0.3659187,0.35909376
37,-0.046694037,-0.18931673,-0.5720617,-0.045209818,-1.2880384,0.32632884,-0.55418926,-0.18537372,1.5185208,-0.3911134
38,0.15180479,0.8637904,0.45832884,1.5462167,0.30227387,0.60785,0.51439065,-0.026325326,1.0267583,-0.72969294
39,-1.9943713,-1.4928927,-0.13407604,-1.397254,0.24161872,-0.20030126,-0.17826328,-1.5960743,-0.75028116,0.04759195
40,0.16471703,0.9547973,0.6717315,-1.0989846,-0.22926447,0.24189344,0.6657458,-0.2884555,0.5991589,-0.48010337
41,1.7717398,1.2370801,1.4168731,1.4183484,2.0217097,2.1564817,1.4495165,1.3370328,1.3568195,1.8185976
42,1.9109043,0.5432841,1.2249223,0.5779035,-1.2002707,0.5623464,1.226041,1.0125315,1.2981954,2.1314843
43,-1.4943906,-0.39741254,-0.87596333,-1.1302866,-0.50330645,-0.31755003,-0.8941248,-1.7557564,-0.9366121,-1.2974688
44,1.35248,0.35017413,0.4393003,0.8238074,-0.3372194,0.49019483,0.40486133,2.0334773,0.25512284,0.18083078
45,-0.5290466,-0.52593327,-0.02304146,-1.5543034,1.8560714,-1.3737487,-0.06620071,-0.013698118,-1.4562275,0.5055031
46,0.61183083,0.98432726,0.6462544,0.46066943,0.69220984,0.9309943,0.57306004,0.22126216,0.89466184,-0.9667912
47,-1.4778268,-1.8790258,-1.0351307,-1.2448739,-0.071679614,-2.018569,-0.91279614,-1.2349852,-1.9411465,-0.34689465
48,-0.1793861,0.29594228,-0.33464748,0.1035355,-0.4424998,-0.5160895,-0.43280947,0.26398948,0.7712456,-0.5733783
49,-0.28463864,-1.0779176,0.36236265,-0.091967955,-0.9089057,-0.69557714,0.36732548,-0.41388163,-1.4247226,0.051890757
50,-1.8861117,-1.610175,-2.215064,-0.697443,-0.5653745,-1.3995512,-2.1897748,-1.9467108,-2.0131958,-1.8552645
